"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash+_contingency","moi_0.100000_iter_10","nonzero",481764,567,667,18100,0.964458890605851,0.969625542401029,1.26127600669861
"fishash_refit0","moi_0.300000_iter_1","full",3979005,1042,170,19783,0.991479977948178,0.949963985594238,0.630863904953003
"fishash_refit0","moi_0.300000_iter_1","nonzero",490924,841,170,19783,0.991479977948178,0.959222265321955,0.630863904953003
"fishash_refit10","moi_0.300000_iter_1","full",3979121,1002,54,19823,0.997283292247321,0.951884753901561,2.02771997451782
"fishash_refit10","moi_0.300000_iter_1","nonzero",491040,801,54,19823,0.997283292247321,0.96116175329713,2.02771997451782
"fishash+_poisson","moi_0.300000_iter_1","full",3978621,842,554,19983,0.973024297609193,0.959567827130852,0.263218879699707
"fishash+_poisson","moi_0.300000_iter_1","nonzero",490540,641,554,19983,0.973024297609193,0.968919705197828,0.263218879699707
"fishash_poisson_rawd","moi_0.300000_iter_1","full",3979126,1010,49,19815,0.997533225936367,0.951500600240096,0.448057889938354
"fishash_poisson_rawd","moi_0.300000_iter_1","nonzero",491045,809,49,19815,0.997533225936367,0.960773855702095,0.448057889938354
"fishash+_contingency","moi_0.300000_iter_1","full",3978596,846,579,19979,0.971835781690826,0.95937575030012,1.01877093315125
"fishash+_contingency","moi_0.300000_iter_1","nonzero",490515,645,579,19979,0.971835781690826,0.96872575640031,1.01877093315125
"fishash_refit0","moi_0.300000_iter_2","full",3978955,1041,211,19793,0.989452109578084,0.950033598924834,0.643903970718384
"fishash_refit0","moi_0.300000_iter_2","nonzero",518557,841,211,19793,0.989452109578084,0.959242027721237,0.643903970718384
"fishash_refit10","moi_0.300000_iter_2","full",3979092,982,74,19852,0.996286259158888,0.952865508303734,1.83951592445374
"fishash_refit10","moi_0.300000_iter_2","nonzero",518694,782,74,19852,0.996286259158888,0.96210138606184,1.83951592445374
"fishash+_poisson","moi_0.300000_iter_2","full",3978584,864,582,19970,0.971681588166602,0.958529327061534,0.526227951049805
"fishash+_poisson","moi_0.300000_iter_2","nonzero",518186,664,582,19970,0.971681588166602,0.967820102743045,0.526227951049805
"fishash_poisson_rawd","moi_0.300000_iter_2","full",3979099,994,67,19840,0.996634349726227,0.952289526735144,0.268864154815674
"fishash_poisson_rawd","moi_0.300000_iter_2","nonzero",518701,794,67,19840,0.996634349726227,0.961519821653582,0.268864154815674
"fishash+_contingency","moi_0.300000_iter_2","full",3978562,857,604,19977,0.970652543608182,0.958865316309878,0.784892082214355
"fishash+_contingency","moi_0.300000_iter_2","nonzero",518164,657,604,19977,0.970652543608182,0.968159348647863,0.784892082214355
"fishash_refit0","moi_0.300000_iter_3","full",3979013,1085,226,19676,0.98864435735102,0.947738548239488,0.663442134857178
"fishash_refit0","moi_0.300000_iter_3","nonzero",529177,869,226,19676,0.98864435735102,0.957702604039912,0.663442134857178
"fishash_refit10","moi_0.300000_iter_3","full",3979166,1061,73,19700,0.996308096899813,0.948894561918983,1.93423986434937
"fishash_refit10","moi_0.300000_iter_3","nonzero",529330,845,73,19700,0.996308096899813,0.958870771477245,1.93423986434937
"fishash+_poisson","moi_0.300000_iter_3","full",3978681,899,558,19862,0.972673849167483,0.956697654255575,0.528833866119385
"fishash+_poisson","moi_0.300000_iter_3","nonzero",528845,683,558,19862,0.972673849167483,0.966755901679241,0.528833866119385
"fishash_poisson_rawd","moi_0.300000_iter_3","full",3979169,1074,70,19687,0.996456951966392,0.94826838784259,0.344035863876343
"fishash_poisson_rawd","moi_0.300000_iter_3","nonzero",529333,858,70,19687,0.996456951966392,0.958238014115357,0.344035863876343
"fishash+_contingency","moi_0.300000_iter_3","full",3978656,897,583,19864,0.971487259744706,0.956793988728867,0.79790210723877
"fishash+_contingency","moi_0.300000_iter_3","nonzero",528820,681,583,19864,0.971487259744706,0.966853248965685,0.79790210723877
"fishash_refit0","moi_0.300000_iter_4","full",3978963,1135,187,19715,0.990603959401065,0.945563549160671,0.653120994567871
"fishash_refit0","moi_0.300000_iter_4","nonzero",504049,903,187,19715,0.990603959401065,0.956203317489572,0.653120994567871
"fishash_refit10","moi_0.300000_iter_4","full",3979085,1118,65,19732,0.996716674243572,0.946378896882494,2.04136896133423
"fishash_refit10","moi_0.300000_iter_4","nonzero",504171,886,65,19732,0.996716674243572,0.957027839751673,2.04136896133423
"fishash+_poisson","moi_0.300000_iter_4","full",3978608,951,542,19899,0.973484663176948,0.954388489208633,0.591787099838257
"fishash+_poisson","moi_0.300000_iter_4","nonzero",503694,719,542,19899,0.973484663176948,0.965127558444078,0.591787099838257
"fishash_poisson_rawd","moi_0.300000_iter_4","full",3979089,1135,61,19715,0.996915453074434,0.945563549160671,0.263159990310669
"fishash_poisson_rawd","moi_0.300000_iter_4","nonzero",504175,903,61,19715,0.996915453074434,0.956203317489572,0.263159990310669
"fishash+_contingency","moi_0.300000_iter_4","full",3978575,957,575,19893,0.971907367598202,0.95410071942446,0.993886947631836
"fishash+_contingency","moi_0.300000_iter_4","nonzero",503661,725,575,19893,0.971907367598202,0.964836550586866,0.993886947631836
"fishash_refit0","moi_0.300000_iter_5","full",3978900,1089,267,19744,0.986657338463845,0.947727163634618,0.654819965362549
