"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true"
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"sceptre",0.857030135927942,0.991818458814944,0.862992665009269,0.00771763945289613,0.839371774276242,49497,58514
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"thresh3",0.782705011861051,0.786439329044773,0.994827909702245,0.438122229489136,0.993958092299781,13761,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"thresh10",0.960850008672482,0.982204730041227,0.977904354784265,0.0122109638867238,0.977503535158761,7698,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"thresh20",0.963033648642855,0.997750700280112,0.965171670867818,0.000400373682103296,0.962848695205039,7493,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"ambient",0.751015254315098,0.762631145954553,0.983578681958299,0.392318134632277,0.978274842524746,12523,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"otsu",0.870133015209374,0.894906381914965,0.975226633294409,0.753758052970651,0.972875690962849,30734,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"valley",0.963748325292865,0.996502381960849,0.967153199188348,0.00278551532033426,0.966448129579637,7539,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"fishash",0.926622076773824,0.945408580344501,0.977511126504018,0.0322498406628426,0.97596092042679,7845,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"depth_fix",0.877179744500814,0.88170251374855,0.993401153249177,0.105708000463124,0.992929682478468,8637,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"sceptre",0.880915777624137,0.905037999005452,0.973080559947649,0.147688453655204,0.962205939066718,8782,7779
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"thresh3",0.991690821432725,0.997739283295733,0.993943080536002,0.00189089533894299,0.994629734313171,10577,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"thresh10",0.963210523534639,1,0.963210523534639,0,0.971547013378557,10312,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"thresh20",0.927503570532352,1,0.927503570532352,0,0.938289052195214,9959,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"ambient",0.894073036050525,0.903301357202523,0.988919455990829,0.0876369327073552,0.988694177501413,11502,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"otsu",0.968211154486662,0.994364261168385,0.973846893318277,0.00784839203675344,0.976634633502921,10448,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"valley",0.98233364219188,0.999903381642512,0.982430260549368,9.5565749235474e-05,0.985773506689278,10464,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"fishash",0.960166666420004,0.99904040583836,0.961114122167791,0.000686341798215511,0.96024119087997,10199,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"depth_fix",0.990794868909007,0.994117288391077,0.996624508522691,0.00461002916549064,0.9967966836254,10629,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"sceptre",0.970250098755275,0.995858528697434,0.974196035227952,0.00337805231155294,0.972866026003392,10361,10614
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"thresh3",0.562135073768814,0.563375892928893,0.997719100720702,0.86992406734896,0.995117023067857,45435,5939
