"method","moi","mu","th","jaccard","precision","recall"
"geomux_nolor","highMOI",150,"th15",0.916819246278324,0.944839004723714,0.968781524295958
"geomux_nolor","highMOI",500,"th015",0.684367943211303,0.98648398257645,0.691015231813329
"geomux_nolor","highMOI",500,"th05",0.846850409381155,0.992755000200984,0.852083391487339
"geomux_nolor","highMOI",500,"th15",0.975982035813098,0.992588637761693,0.983144784823949
"geomux_nolor","lowMOI",5,"th015",0.306717421197395,0.405026840082126,0.55983643178652
"geomux_nolor","lowMOI",5,"th05",0.383893650810337,0.528748966168029,0.583957776998883
"geomux_nolor","lowMOI",5,"th15",0.426864180885151,0.588364823413701,0.6084067023339
"geomux_nolor","lowMOI",15,"th015",0.408735945151859,0.531163672281912,0.64002208638691
"geomux_nolor","lowMOI",15,"th05",0.527542702094874,0.673598315956278,0.708982997124019
"geomux_nolor","lowMOI",15,"th15",0.622149799770383,0.726283852878655,0.812909910214093
"geomux_nolor","lowMOI",50,"th015",0.52979958786397,0.709078834082823,0.676576465134133
"geomux_nolor","lowMOI",50,"th05",0.661095636644796,0.804976735344394,0.787553461496352
"geomux_nolor","lowMOI",50,"th15",0.798095664536247,0.859652116486178,0.917732752231741
"geomux_nolor","lowMOI",150,"th015",0.625805183227012,0.888214660845162,0.679629246765657
"geomux_nolor","lowMOI",150,"th05",0.781424537155734,0.92974631636514,0.830607447696432
"geomux_nolor","lowMOI",150,"th15",0.906211741263914,0.940748723248643,0.961087120055922
"geomux_nolor","lowMOI",500,"th015",0.676881775691609,0.985490970540183,0.683805245944636
"geomux_nolor","lowMOI",500,"th05",0.843398798063479,0.98849757165423,0.851775281857693
"geomux_nolor","lowMOI",500,"th15",0.96942326486439,0.993073052278778,0.976037130196355
"otsu","highMOI",5,"th015",0.101860395112653,0.101860395112653,1
"otsu","highMOI",5,"th05",0.146475177095555,0.146475177095555,1
"otsu","highMOI",5,"th15",0.178822703899298,0.178822703899298,1
"otsu","highMOI",15,"th015",0.178940931619532,0.194696846110801,0.939644286932652
"otsu","highMOI",15,"th05",0.488270521610921,0.550021374089035,0.828519051454394
"otsu","highMOI",15,"th15",0.610300739010994,0.653029316083305,0.904133034883709
"otsu","highMOI",50,"th015",0.493204980887628,0.609316087883824,0.728942328305702
"otsu","highMOI",50,"th05",0.660280350454302,0.75412749577897,0.844285312419778
"otsu","highMOI",50,"th15",0.764606814246997,0.796689517677527,0.950147021052396
"otsu","highMOI",150,"th015",0.63015720334923,0.878395282184057,0.694218804612676
"otsu","highMOI",150,"th05",0.784994741621195,0.917620173703776,0.845130046651686
"otsu","highMOI",150,"th15",0.918342328193959,0.944975309675944,0.970415613658455
"otsu","highMOI",500,"th015",0.699838336049103,0.98452424963729,0.707853673123464
"otsu","highMOI",500,"th05",0.859305153138981,0.991694993785941,0.86549869242632
"otsu","highMOI",500,"th15",0.981054695562443,0.994719189490522,0.986200074092139
"otsu","lowMOI",5,"th015",0.0999988886122945,0.0999988886122945,1
"otsu","lowMOI",5,"th05",0.148337985848255,0.148337985848255,1
"otsu","lowMOI",5,"th15",0.174339036889059,0.174339036889059,1
"otsu","lowMOI",15,"th015",0.199014945743798,0.220031281111386,0.919363863070936
"otsu","lowMOI",15,"th05",0.502041976770871,0.571356376435467,0.812196440266817
"otsu","lowMOI",15,"th15",0.601563081551473,0.652102780280771,0.8873048413407
"otsu","lowMOI",50,"th015",0.492969216526518,0.608364032328532,0.726939102615997
