"dataset","fishash","fishashplus","cleanser"
"barnyard_lrb100_0hr",19,8.07341856654319,10
"barnyard_lrb100_0hr",307,4.22442684548992,4
"barnyard_lrb100_0hr",74,16.2848132770555,16
"barnyard_lrb100_0hr",35,12.1073548970137,12
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",8,4.0261598414316,8
"barnyard_lrb100_0hr",4,4,4
"barnyard_lrb100_0hr",130,43.2054769985917,35
"barnyard_lrb100_0hr",286,9.28402885549085,9
"barnyard_lrb100_0hr",71,11.349054600978,11
"barnyard_lrb100_0hr",4,2.00545179362674,4
"barnyard_lrb100_0hr",105,3.12832927632071,3
"barnyard_lrb100_0hr",20,1.00627654378738,1
"barnyard_lrb100_0hr",16,16,16
"barnyard_lrb100_0hr",699,12.5616501094944,11
"barnyard_lrb100_0hr",29,6.04050928926992,6
"barnyard_lrb100_0hr",3,0,0
"barnyard_lrb100_0hr",192,9.6401537790016,9
"barnyard_lrb100_0hr",30,8.04421539737258,8
"barnyard_lrb100_0hr",24,8.07908979493354,8
"barnyard_lrb100_0hr",243,9.57682654793472,9
"barnyard_lrb100_0hr",24,10.1520514460069,10
"barnyard_lrb100_0hr",130,7.33560994271978,7
"barnyard_lrb100_0hr",102,18.2662598191894,18
"barnyard_lrb100_0hr",22,12.0438618294716,12
"barnyard_lrb100_0hr",101,17.559682906909,17
"barnyard_lrb100_0hr",30,8.10064707513009,8
"barnyard_lrb100_0hr",103,20.6202920355678,20
"barnyard_lrb100_0hr",32,7.08561408277739,7
"barnyard_lrb100_0hr",1,1,1
"barnyard_lrb100_0hr",42,2.01390187762564,2
"barnyard_lrb100_0hr",43,3.05391111174653,3
"barnyard_lrb100_0hr",15,4.00910224781068,4
"barnyard_lrb100_0hr",19,6.03688565380469,6
"barnyard_lrb100_0hr",60,8.14951491284782,8
"barnyard_lrb100_0hr",29,11.0884899824652,11
"barnyard_lrb100_0hr",22,4.05399168766943,6
"barnyard_lrb100_0hr",151,5.30695820098359,7
"barnyard_lrb100_0hr",1,1,1
"barnyard_lrb100_0hr",27,2.03873609965175,6
"barnyard_lrb100_0hr",208,9.38786283205485,9
"barnyard_lrb100_0hr",40,4.03665000007396,4
"barnyard_lrb100_0hr",37,1.01362611076984,1
"barnyard_lrb100_0hr",181,26.3131954942892,22
"barnyard_lrb100_0hr",43,19.0932325443729,19
"barnyard_lrb100_0hr",60,6.09509386783791,6
"barnyard_lrb100_0hr",7,7,7
"barnyard_lrb100_0hr",31,8.15486220874788,8
"barnyard_lrb100_0hr",154,4.09376326226817,4
"barnyard_lrb100_0hr",50,5.08797546313513,5
"barnyard_lrb100_0hr",80,6.30727811103074,6
"barnyard_lrb100_0hr",12,5.02096131792883,5
"barnyard_lrb100_0hr",467,9.59424400570741,9
"barnyard_lrb100_0hr",216,28.4518114168455,28
"barnyard_lrb100_0hr",118,13.4647416544352,13
"barnyard_lrb100_0hr",44,9.32568832171114,9
"barnyard_lrb100_0hr",310,11.2799647512539,10
"barnyard_lrb100_0hr",20,2.03493653959413,4
"barnyard_lrb100_0hr",51,14.2880001610592,14
"barnyard_lrb100_0hr",60,8.14611367564969,8
"barnyard_lrb100_0hr",29,2.0175952310706,2
"barnyard_lrb100_0hr",292,9.54497147432766,9
"barnyard_lrb100_0hr",183,9.6574920550639,9
"barnyard_lrb100_0hr",90,7.16951885270737,7
"barnyard_lrb100_0hr",85,5.40619629515116,5
"barnyard_lrb100_0hr",52,0,0
"barnyard_lrb100_0hr",255,33.1397839011952,16
"barnyard_lrb100_0hr",25,4.04804755291832,4
"barnyard_lrb100_0hr",39,9.0513333599202,9
"barnyard_lrb100_0hr",741,10.3274337082495,9
"barnyard_lrb100_0hr",50,8.07882367661346,10
"barnyard_lrb100_0hr",125,13.5892439938888,13
"barnyard_lrb100_0hr",93,1.02131282654413,1
"barnyard_lrb100_0hr",23,10.0869878450329,10
"barnyard_lrb100_0hr",11,3.02009565826243,5
"barnyard_lrb100_0hr",246,5.50649008531066,5
"barnyard_lrb100_0hr",25,13.0720172007576,13
"barnyard_lrb100_0hr",24,0,2
"barnyard_lrb100_0hr",159,5.20423388274963,5
"barnyard_lrb100_0hr",215,9.38183750550884,9
"barnyard_lrb100_0hr",206,5.4158071705028,7
"barnyard_lrb100_0hr",15,15,15
"barnyard_lrb100_0hr",28,12.1081803650027,12
"barnyard_lrb100_0hr",230,6.26987930248996,6
"barnyard_lrb100_0hr",23,11.2607663149323,11
"barnyard_lrb100_0hr",191,8.2766815008057,8
"barnyard_lrb100_0hr",7,7,7
"barnyard_lrb100_0hr",63,4.11837756822481,4
"barnyard_lrb100_0hr",42,3.06132189333737,3
"barnyard_lrb100_0hr",51,28.7048142477924,10
"barnyard_lrb100_0hr",403,9.42855473590027,9
"barnyard_lrb100_0hr",253,6.27553527943078,6
"barnyard_lrb100_0hr",31,7.04354132488437,7
"barnyard_lrb100_0hr",436,1.20024076641518,1
"barnyard_lrb100_0hr",262,11.3348187955155,10
"barnyard_lrb100_0hr",285,3.11320918909661,3
"barnyard_lrb100_0hr",47,2.02927335758358,2
"barnyard_lrb100_0hr",176,4.17373772913922,4
"barnyard_lrb100_0hr",213,19.5543316609318,18
"barnyard_lrb100_0hr",33,4.07312374539595,4
"barnyard_lrb100_0hr",32,11.0888615230513,11
"barnyard_lrb100_0hr",19,8.01747183432852,8
"barnyard_lrb100_0hr",15,3.01149738954554,3
"barnyard_lrb100_0hr",5,5,5
"barnyard_lrb100_0hr",54,10.2050840129468,10
"barnyard_lrb100_0hr",36,2.0182675679331,2
"barnyard_lrb100_0hr",117,6.52029706199342,6
