"dataset","ceil_fishash","ceil_fishashplus"
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",12,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",5,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",9,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",4,2
"barnyard_mch2_0hr",6,2
"barnyard_mch2_0hr",9,3
"barnyard_mch2_0hr",2,2
"barnyard_mch2_0hr",4,1
"barnyard_mch2_0hr",9,2
"barnyard_mch2_0hr",1,1
"barnyard_mch2_0hr",8,1
"barnyard_mch2_0hr",5,1
"barnyard_mch2_0hr",4,1
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",4,2
"barnyard_mch2_0hr",6,2
"barnyard_mch2_0hr",4,2
"barnyard_mch2_0hr",7,2
"barnyard_mch2_0hr",4,2
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",4,1
"barnyard_mch2_0hr",6,1
"barnyard_mch2_0hr",5,1
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",9,1
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",1,1
"barnyard_mch2_0hr",1,1
"barnyard_mch2_0hr",2,2
"barnyard_mch2_0hr",4,1
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",6,1
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",3,3
"barnyard_mch2_0hr",1,1
"barnyard_mch2_0hr",7,1
"barnyard_mch2_0hr",4,2
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",3,1
"barnyard_mch2_0hr",5,2
"barnyard_mch2_0hr",6,1
"barnyard_mch2_0hr",7,2
"barnyard_mch2_0hr",12,1
"barnyard_mch2_0hr",3,1
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",3,1
"barnyard_mch2_0hr",5,1
"barnyard_mch2_0hr",13,1
"barnyard_mch2_0hr",6,2
"barnyard_mch2_0hr",5,2
"barnyard_mch2_0hr",4,2
"barnyard_mch2_0hr",9,1
"barnyard_mch2_0hr",15,1
"barnyard_mch2_0hr",3,1
"barnyard_mch2_0hr",4,2
"barnyard_mch2_0hr",2,2
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",5,1
"barnyard_mch2_0hr",10,2
"barnyard_mch2_0hr",2,1
"barnyard_mch2_0hr",5,2
"barnyard_mch2_0hr",3,2
"barnyard_mch2_0hr",6,2
"barnyard_mch2_0hr",1,1
"barnyard_mch2_0hr",5,2
