"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash+_contingency","moi_0.300000_iter_7","nonzero",269624,3571,344,15459,0.978231981269379,0.812348922753547,0.425575017929077
"fishash_refit0","moi_0.300000_iter_8","full",3979166,5326,93,15415,0.994003095176683,0.743213924111663,0.165663003921509
"fishash_refit0","moi_0.300000_iter_8","nonzero",280609,3587,93,15415,0.994003095176683,0.811230396800337,0.165663003921509
"fishash_refit10","moi_0.300000_iter_8","full",3979166,5291,93,15450,0.99401659911214,0.744901403018177,1.62734794616699
"fishash_refit10","moi_0.300000_iter_8","nonzero",280609,3552,93,15450,0.99401659911214,0.813072308178087,1.62734794616699
"fishash+_poisson","moi_0.300000_iter_8","full",3978967,5181,292,15560,0.981579611405501,0.750204908152934,0.17283296585083
"fishash+_poisson","moi_0.300000_iter_8","nonzero",280410,3442,292,15560,0.981579611405501,0.818861172508157,0.17283296585083
"fishash_poisson_rawd","moi_0.300000_iter_8","full",3979175,5390,84,15351,0.994557823129252,0.740128248396895,0.176382064819336
"fishash_poisson_rawd","moi_0.300000_iter_8","nonzero",280618,3651,84,15351,0.994557823129252,0.807862330281023,0.176382064819336
"fishash+_contingency","moi_0.300000_iter_8","full",3978925,5124,334,15617,0.9790608739264,0.752953088086399,0.837687015533447
"fishash+_contingency","moi_0.300000_iter_8","nonzero",280368,3385,334,15617,0.9790608739264,0.821860856751921,0.837687015533447
"fishash_refit0","moi_0.300000_iter_9","full",3979029,5529,109,15333,0.992941328843414,0.734972677595628,0.167031049728394
"fishash_refit0","moi_0.300000_iter_9","nonzero",275452,3766,109,15333,0.992941328843414,0.802816901408451,0.167031049728394
"fishash_refit10","moi_0.300000_iter_9","full",3979021,5508,117,15354,0.992437463641652,0.735979292493529,1.47759699821472
"fishash_refit10","moi_0.300000_iter_9","nonzero",275444,3745,117,15354,0.992437463641652,0.803916435415467,1.47759699821472
"fishash+_poisson","moi_0.300000_iter_9","full",3978843,5382,295,15480,0.981299524564184,0.742018981880932,0.168929100036621
"fishash+_poisson","moi_0.300000_iter_9","nonzero",275266,3619,295,15480,0.981299524564184,0.810513639457563,0.168929100036621
"fishash_poisson_rawd","moi_0.300000_iter_9","full",3979039,5601,99,15261,0.9935546875,0.731521426517112,0.171159029006958
"fishash_poisson_rawd","moi_0.300000_iter_9","nonzero",275462,3838,99,15261,0.9935546875,0.799047070527253,0.171159029006958
"fishash+_contingency","moi_0.300000_iter_9","full",3978806,5327,332,15535,0.979076069830466,0.744655354232576,0.285099029541016
"fishash+_contingency","moi_0.300000_iter_9","nonzero",275229,3564,332,15535,0.979076069830466,0.8133933713807,0.285099029541016
"fishash_refit0","moi_0.300000_iter_10","full",3979051,5659,106,15184,0.993067364290386,0.72849397879384,0.165927886962891
"fishash_refit0","moi_0.300000_iter_10","nonzero",282737,3856,106,15184,0.993067364290386,0.797478991596639,0.165927886962891
"fishash_refit10","moi_0.300000_iter_10","full",3979032,5652,125,15191,0.991838600156699,0.728829822962146,1.2617039680481
"fishash_refit10","moi_0.300000_iter_10","nonzero",282718,3849,125,15191,0.991838600156699,0.797846638655462,1.2617039680481
"fishash+_poisson","moi_0.300000_iter_10","full",3978823,5494,334,15349,0.978703054262577,0.736410305618193,0.375720024108887
"fishash+_poisson","moi_0.300000_iter_10","nonzero",282509,3691,334,15349,0.978703054262577,0.806144957983193,0.375720024108887
"fishash_poisson_rawd","moi_0.300000_iter_10","full",3979043,5738,114,15105,0.99250936329588,0.724703737465816,0.176395893096924
"fishash_poisson_rawd","moi_0.300000_iter_10","nonzero",282729,3935,114,15105,0.99250936329588,0.793329831932773,0.176395893096924
"fishash+_contingency","moi_0.300000_iter_10","full",3978797,5464,360,15379,0.97712688226698,0.737849637768076,0.767713069915771
"fishash+_contingency","moi_0.300000_iter_10","nonzero",282483,3661,360,15379,0.97712688226698,0.807720588235294,0.767713069915771
"fishash_refit0","moi_0.500000_iter_1","full",3977168,6695,78,16059,0.995166387804425,0.705766019161466,0.170620918273926
"fishash_refit0","moi_0.500000_iter_1","nonzero",287093,4554,78,16059,0.995166387804425,0.779071459758405,0.170620918273926
"fishash_refit10","moi_0.500000_iter_1","full",3977166,6664,80,16090,0.995052566481138,0.70712841698163,1.6741738319397
"fishash_refit10","moi_0.500000_iter_1","nonzero",287091,4523,80,16090,0.995052566481138,0.780575365060884,1.6741738319397
"fishash+_poisson","moi_0.500000_iter_1","full",3976991,6448,255,16306,0.984602379083389,0.716621253405995,0.175764083862305
"fishash+_poisson","moi_0.500000_iter_1","nonzero",286916,4307,255,16306,0.984602379083389,0.791054189103964,0.175764083862305
"fishash_poisson_rawd","moi_0.500000_iter_1","full",3977180,6753,66,16001,0.99589220140661,0.703217016788257,0.389540910720825
"fishash_poisson_rawd","moi_0.500000_iter_1","nonzero",287105,4612,66,16001,0.99589220140661,0.776257701450541,0.389540910720825
"fishash+_contingency","moi_0.500000_iter_1","full",3976975,6389,271,16365,0.983710026448666,0.719214204095983,0.660604000091553
"fishash+_contingency","moi_0.500000_iter_1","nonzero",286900,4248,271,16365,0.983710026448666,0.793916460486101,0.660604000091553
"fishash_refit0","moi_0.500000_iter_2","full",3977095,6564,97,16244,0.994064010770455,0.71220624342336,0.16886305809021
"fishash_refit0","moi_0.500000_iter_2","nonzero",277114,4355,97,16244,0.994064010770455,0.788581969998544,0.16886305809021
"fishash_refit10","moi_0.500000_iter_2","full",3977090,6523,102,16285,0.99377555379264,0.714003858295335,1.44196200370789
"fishash_refit10","moi_0.500000_iter_2","nonzero",277109,4314,102,16285,0.99377555379264,0.79057235788145,1.44196200370789
"fishash+_poisson","moi_0.500000_iter_2","full",3976914,6317,278,16491,0.983421790208122,0.723035776920379,0.252104997634888
"fishash+_poisson","moi_0.500000_iter_2","nonzero",276933,4108,278,16491,0.983421790208122,0.80057284334191,0.252104997634888
"fishash_poisson_rawd","moi_0.500000_iter_2","full",3977100,6639,92,16169,0.994342291371994,0.708917923535602,0.180480003356934
"fishash_poisson_rawd","moi_0.500000_iter_2","nonzero",277119,4430,92,16169,0.994342291371994,0.784941016554202,0.180480003356934
"fishash+_contingency","moi_0.500000_iter_2","full",3976888,6231,304,16577,0.981991588176056,0.726806383725009,0.546669960021973
"fishash+_contingency","moi_0.500000_iter_2","nonzero",276907,4022,304,16577,0.981991588176056,0.804747803291422,0.546669960021973
"fishash_refit0","moi_0.500000_iter_3","full",3977157,6634,96,16113,0.99407736442717,0.708357145997274,0.167374134063721
"fishash_refit0","moi_0.500000_iter_3","nonzero",269098,4532,96,16113,0.99407736442717,0.780479534996367,0.167374134063721
"fishash_refit10","moi_0.500000_iter_3","full",3977153,6642,100,16105,0.993829065103363,0.708005451268299,1.4277229309082
