"scn","moi","method","Precision","Recall","F1"
"varyMOILow",2,"sceptre_mixture",0.994408030434982,0.530167884460302,0.691606362969811
"varyMOI",3,"sceptre_mixture",0.992900721020521,0.801515097245603,0.887001674709899
"varyMOILow",3,"sceptre_mixture",0.994385269589629,0.432245212928234,0.602564262930765
"varyMOI",5,"sceptre_mixture",0.99468549218688,0.70670979813122,0.826326471440997
"varyMOILow",5,"sceptre_mixture",0.995344184077879,0.292072668149537,0.451621914172981
"varyMOI",10,"sceptre_mixture",0.997066474788288,0.526540395182977,0.689148606515044
"varyMOILow",10,"sceptre_mixture",0.995497396932602,0.123720534402761,0.22008845015217
"varyMOI",0.1,"sceptre_mixture",0.960994610746492,0.953364035784236,0.957164115646258
"varyMOILow",0.1,"sceptre_mixture",0.905742077188579,0.766978424912318,0.830604552124996
"varyMOI",0.3,"sceptre_mixture",0.76251887998141,0.941877152698048,0.842760834670947
"varyMOILow",0.3,"sceptre_mixture",0.992166763772901,0.734637139296328,0.844198408108183
"varyMOI",0.5,"sceptre_mixture",0.971863531330705,0.936599423631124,0.953905676739377
"varyMOILow",0.5,"sceptre_mixture",0.994234737225391,0.717514124293785,0.833507160845565
"varyMOI",1,"sceptre_mixture",0.983914312039312,0.907349713233732,0.944082219029727
"varyMOILow",1,"sceptre_mixture",0.99262432886816,0.648720493372085,0.784644074336056
"varyMOI",2,"sceptre_mixture",0.992710552876528,0.85975135975136,0.921459428511945
"varyMOILow",2,"sceptre_mixture",0.993246305865289,0.531714063864894,0.69263836646964
"varyMOI",3,"sceptre_mixture",0.987733180090178,0.801725839148921,0.885062137941278
"varyMOILow",3,"sceptre_mixture",0.99568910865982,0.422295117229512,0.593059698674621
"varyMOI",5,"sceptre_mixture",0.991010844061133,0.708389524144105,0.826199303449051
"varyMOILow",5,"sceptre_mixture",0.994983546030982,0.28119222873734,0.438468816595779
"varyMOI",10,"sceptre_mixture",0.996986103785669,0.535278582037368,0.69657065503497
"varyMOILow",10,"sceptre_mixture",0.995527728085868,0.128741960856892,0.227999016715831
"varyMOI",0.1,"sceptre_mixture",0.76277543366151,0.949392605166835,0.84591388193033
"varyMOILow",0.1,"sceptre_mixture",0.992163871322519,0.763017391764022,0.862632601225161
"varyMOI",0.3,"sceptre_mixture",0.975190175508378,0.941396688264939,0.957995506496044
"varyMOILow",0.3,"sceptre_mixture",0.988901220865705,0.726718802475651,0.837776548672566
"varyMOI",0.5,"sceptre_mixture",0.973892623630168,0.930859959510607,0.951890189018902
"varyMOILow",0.5,"sceptre_mixture",0.993197278911565,0.702199291679419,0.822724827745191
"varyMOI",1,"sceptre_mixture",0.986668185961714,0.912722673131654,0.948256036795707
"varyMOILow",1,"sceptre_mixture",0.993366053610916,0.647358616568838,0.783878106911815
"varyMOI",2,"sceptre_mixture",0.970454231671959,0.853966711213704,0.90849166343544
"varyMOILow",2,"sceptre_mixture",0.994618917289048,0.52476871114592,0.68704638308099
"varyMOI",3,"sceptre_mixture",0.995153473344103,0.804364546999374,0.889645075772564
"varyMOILow",3,"sceptre_mixture",0.995413809062986,0.422509554595135,0.593222251476285
"varyMOI",5,"sceptre_mixture",0.996456014304815,0.703024310409492,0.824408252478942
"varyMOILow",5,"sceptre_mixture",0.99538049082285,0.271532567480901,0.426672088541575
"varyMOI",10,"sceptre_mixture",0.996952561541327,0.518365718108674,0.682082487123453
"varyMOILow",10,"sceptre_mixture",0.995842747401717,0.128095883005993,0.226993454290761
